,livre,lien
35,RAPPORT NATIONAL DU SECTEUR DE L’EAU,http://www.onagri.nat.tn/uploads/statistiques/PRINT-2019%20Secteur-eau.pdf
36,Les oasis de Tunisie à protéger contre la dégradation et les effets du changement climatique,http://www.environnement.gov.tn/PICC/wp-content/uploads/Les-oasis-de-Tunisie-%C3%A0-prot%C3%A9ger-contre-le-changement-climatique1.pdf
37,Valorisation des produits laitiers typiques de Bizerte et Béja Diagnostic et stratégie locale,http://www.animaweb.org/sites/default/files/lac_rapportdiagnostic_tunisie_fr_final.pdf
38,Analyse de vulnérabilité au changement climatique du couvert forestier La forêt de Siliana (Tunisie),http://www.fao.org/3/a-i6640f.pdf
39,ACTUALISATION DE LA STRATEGIE NATIONALE ET DU PLAN D’ACTION NATIONAUX SUR LA BIODIVERSITE : Stratégie et plan d’action nationaux pour la biodiversité 2018-2030,http://scid.tn/images/2020/SPANB_Dfinitif_Ver_28112017_ver_BE.pdf
40,Etude de l’amélioration de la Qualité et du positionnement des Plantes Aromatiques et Médicinales,http://www.apia.com.tn/medias/files/Etude-de-amelioration-Qualite-et-positionnement-des-Plantes-Aromatiques-et-Medicinales.pdf
41,La Covid-19 a lourdement impacté les circuits d’approvisionnement et de commercialisation des produits agricoles,https://onagri.home.blog/2020/07/07/la-covid-19-a-lourdement-impacte-les-circuits-dapprovisionnement-et-de-commercialisation-des-produits-agricoles-onagri/
42,Tunisie Financement du secteur agricole,http://www.fao.org/3/i3210f/i3210f.pdf
43,Transformation et conditionnement de l’huile d’olive biologique,http://www.tunisieindustrie.nat.tn/fr/download/fichesPro/IAA/15.pdf
44,Aperçu du secteur oléicole en Tunisie: Olivea,http://www.onagri.nat.tn/uploads/filieres/huile-olive/Journal-officiel-du-conseil-oleicole-international.pdf
45,CAHIER des CHARGES de l’HUILE D’OLIVE VIERGE EXTRA: Label Qualimed,https://www.progettoqualimed.eu/disciplinari/disciplinare-olio-oliva/huile-olive.pdf
46,Modèles d’affaires de la filière huile d’olive Bio & conventionnelle,https://ackinternational.com/wp-content/uploads/2019/09/Note-Partage-6-Lhuile-dolive-Tunisie.pdf
47,La transformation agricole en Afrique : le rôle des ressources naturelles,http://www.fao.org/3/a-i7174f.pdf
48,Nature & Faune,http://www.fao.org/3/I9937FR/i9937fr.pdf
49,CULTURE HYPER INTENSIVE DE L’OLIVIER DANS LE MONDE ET APPLICATIONS EN TUNISIE,http://anafide.net/wp-content/uploads/2017/11/Culture-hyperintensive-de-l%E2%80%99olivier-dans-le-monde-et-applications-en-Tunisie.pdf
50,L’AGRICULTURE FAMILIALE À PETITE ÉCHELLE AU PROCHE-ORIENT ET AFRIQUE DU NORD : SYNTHÈSE,http://www.fao.org/3/a-i6436f.pdf
51,MISE EN PLACE D’UN SYSTÈME NATIONAL DE  SUIVI DES FORÊTS EN TUNISIE Évaluation des besoins et proposition d’une feuille de route,http://www.onagri.nat.tn/uploads/Etudes/mise-place-systeme-national.pdf
52,RÉFÉRENTIEL DU DÉVELOPPEMENT AGRICOLE DURABLE EN TUNISIE : Document de base pour la formation et le conseil agricole,http://www.onagri.nat.tn/uploads/Etudes/160314_Tunisie_referentiel%20agriculture%20durable_web.pdf
53,Elaboration de la vision et de la stratégie du Secteur de l’Eau à l’horizon 2050 pour la Tunisie «Eau 2050»,https://www.africanwaterfacility.org/fileadmin/uploads/awf/Projects/PCRs/2016_AWF_PAR_EN_Tunisie_Strategie_Eau2050.pdf
